product_url,image_id
https://www.lookfantastic.com/clinique-moisture-surge-72-hour-moisturiser-75ml/12506978.html,12506978_1
https://www.lookfantastic.com/clinique-moisture-surge-72-hour-moisturiser-75ml/12506978.html,12506978_4
https://www.lookfantastic.com/cerave-smoothing-cream-177ml/12207665.html,12207665_1
https://www.lookfantastic.com/cerave-facial-moisturising-lotion-spf-25-52ml/11798689.html,11798689_1
https://www.lookfantastic.com/cerave-facial-moisturising-lotion-spf-25-52ml/11798689.html,11798689_2
https://www.lookfantastic.com/cerave-moisturising-lotion-473ml/11798695.html,11798695_1
https://www.lookfantastic.com/cerave-facial-moisturising-lotion-no-spf-52ml/11798688.html,11798688_1
https://www.lookfantastic.com/cerave-facial-moisturising-lotion-no-spf-52ml/11798688.html,11798688_2
https://www.lookfantastic.com/cerave-facial-moisturising-lotion-no-spf-52ml/11798688.html,11798688_3
https://www.lookfantastic.com/cerave-facial-moisturising-lotion-no-spf-52ml/11798688.html,11798688_4
https://www.lookfantastic.com/the-ordinary-hyaluronic-acid-2-b5-hydration-support-formula-30ml/11363395.html,11363395_1
https://www.lookfantastic.com/the-ordinary-hyaluronic-acid-2-b5-hydration-support-formula-30ml/11363395.html,11363395_4
https://www.lookfantastic.com/the-ordinary-hyaluronic-acid-2-b5-hydration-support-formula-30ml/11363395.html,11363395_5
https://www.lookfantastic.com/the-ordinary-hyaluronic-acid-2-b5-hydration-support-formula-30ml/11363395.html,11363395_8
https://www.lookfantastic.com/the-ordinary-hyaluronic-acid-2-b5-hydration-support-formula-30ml/11363395.html,11363395_9
https://www.lookfantastic.com/cerave-moisturising-cream-340g/11798692.html,11798692_1
https://www.lookfantastic.com/cerave-moisturising-cream-340g/11798692.html,11798692_2
https://www.lookfantastic.com/the-ordinary-natural-moisturizing-factors-ha-100ml/11638505.html#,11638505#_1
https://www.lookfantastic.com/the-ordinary-natural-moisturizing-factors-ha-100ml/11638505.html#,11638505#_7
https://www.lookfantastic.com/the-ordinary-natural-moisturizing-factors-ha-100ml/11638505.html#,11638505#_9
